Ward,Searches,"Searches which got estimate","Searches for Quotes","Searches which got Quotes",Bookings,"Completed Trips","Search-to-estimate Rate","Rider Fare Acceptance Rate","Driver Quote Acceptance Rate","Quote-to-Booking Rate",Cancelled Bookings,"Booking Cancellation Rate","Driver Cancellation Rate","User Cancellation Rate","Conversion Rate","Driver's Earnings","Average Distance per Trip (km)","Average Fare per Trip","Distance Travelled (km)"
Subramanya Nagar,"8,79,337","8,69,985","6,48,346","4,98,510","4,91,952","3,18,004",98.9%,74.5%,76.9%,98.7%,"1,73,872",35.3%,19.9%,15.3%,36.2%,"₹4,61,37,695",7.63,₹145.09,"24,26,055"
Ramamurthy Nagara,"10,63,222","10,39,383","8,31,552","4,49,505","4,46,319","3,05,603",97.8%,80.0%,54.1%,99.3%,"1,40,659",31.5%,19.7%,11.7%,28.7%,"₹4,26,87,980",7.35,₹139.68,"22,46,687"
Hombegowda Nagara,"10,95,994","10,65,600","8,70,625","4,68,157","4,63,286","3,04,245",97.2%,81.7%,53.8%,99.0%,"1,58,985",34.3%,19.5%,14.6%,27.8%,"₹3,91,20,447",6.73,₹128.58,"20,47,480"
Hebbala,"9,24,821","9,09,717","7,10,372","4,51,077","4,46,518","2,99,204",98.4%,78.1%,63.5%,99.0%,"1,47,256",33.0%,20.1%,12.8%,32.4%,"₹4,31,18,897",7.80,₹144.11,"23,32,555"
Ashoka Pillar,"9,50,605","9,29,518","7,48,588","4,46,247","4,41,543","2,97,147",97.8%,80.5%,59.6%,98.9%,"1,44,327",32.7%,19.3%,13.3%,31.3%,"₹3,64,38,726",6.35,₹122.63,"18,85,995"
Ganga Nagar,"8,22,981","8,11,229","6,31,459","4,32,595","4,27,960","2,96,159",98.6%,77.8%,68.5%,98.9%,"1,31,726",30.8%,18.2%,12.5%,36.0%,"₹3,87,97,880",6.94,₹131,"20,56,583"
Ganesh Mandir ward,"7,29,119","7,20,823","5,51,167","4,17,571","4,12,825","2,96,075",98.9%,76.5%,75.8%,98.9%,"1,16,696",28.3%,15.8%,12.3%,40.6%,"₹3,46,69,144",6.13,₹117.10,"18,14,630"
Arakere,"10,26,907","10,00,203","7,99,818","4,44,181","4,39,331","2,94,380",97.4%,80.0%,55.5%,98.9%,"1,44,893",33.0%,19.5%,13.3%,28.7%,"₹4,35,43,139",7.91,₹147.91,"23,29,188"
Dharmaraya Swamy Temple Ward,"14,11,025","13,69,771","11,18,580","5,68,576","5,63,137","2,91,783",97.1%,81.7%,50.8%,99.0%,"2,71,256",48.2%,29.2%,18.8%,20.7%,"₹4,44,12,294",8.30,₹152.21,"24,22,893"
Bilekhalli,"11,54,792","11,18,875","9,31,951","4,60,193","4,55,139","2,90,549",96.9%,83.3%,49.4%,98.9%,"1,64,509",36.1%,21.5%,14.5%,25.2%,"₹4,30,18,747",7.82,₹148.06,"22,72,381"
Chatrapati Shivaji,"10,92,586","10,76,932","7,01,921","4,82,712","4,76,100","2,87,489",98.6%,65.2%,68.8%,98.6%,"1,88,551",39.6%,24.0%,15.5%,26.3%,"₹5,16,03,699",9.79,₹179.50,"28,13,271"
Vijnana Nagar,"11,64,948","11,25,915","9,60,669","4,21,242","4,18,150","2,86,611",96.6%,85.3%,43.8%,99.3%,"1,31,481",31.4%,19.7%,11.7%,24.6%,"₹4,55,38,223",8.44,₹158.89,"24,18,901"
